text,anger,disgust,fear,joy,sadness,surprise,neutral
Это бесит меня и не позволяет мне следовать за Эрикой.,0,0,0,0,1,0,0
"Будет ли спать спокойно, хотел услышать, как он говорит ""Спокойной ночи"", но это не было ""Спокойной ночи"" для всех...",0,0,0,0,1,0,0
"Мои мамы пытаются заставить меня почувствовать себя взволнованной тем, что я останавливаю голосование, а не выигрываю шорт. Я чуть не плакал.",0,0,0,0,1,0,0
"Он так много думает, и я на работе.",0,0,0,0,0,1,0
Я не видела Маффина целых два дня!,0,0,0,0,1,0,0
@YumiFujii Я буду скучать по вам... передайте @LesleyBudy мои привет...,0,0,0,0,1,0,0
Мой год промежутка проходит так быстро,0,0,0,0,0,1,0
Только что нашли мышиные мышиные квартиры в диджеях.,0,0,0,0,1,0,0
@qi_tah o нет.,0,0,0,0,0,1,0
"@xoshayzers, я знаю, что все будет по-другому &lt; 3",0,0,0,0,1,0,0
"Пойду спать, снова засну, играя в приложения.",0,0,0,0,1,0,0
"Не могу поверить, что песня Metal Gear Solid была украдена, я так разочарована http://bit.ly/YKKSu",0,0,0,0,1,0,0
"@MacZombieRawr Я бы хотел оставить 4 Мертвых но сначала мне нужно что-то, чтобы сыграть на...",0,0,0,0,1,0,0
У меня болит зубы и голова.,0,0,0,0,1,0,0
Я ненавижу грабить фильмы о зомби и запах травы.,0,0,0,0,1,0,0
Больше никаких арестов за развитие. Мне грустно.,0,0,0,0,1,0,0
"Ом, я продолжаю терять последователей. Это так печально, что однажды я хочу 90... это моя цель.",0,0,0,0,1,0,0
"Я чувствую себя такой дефлятной, никакой больше собачки.",0,0,0,0,1,0,0
"Мне просто пришлось опустошить мак. Это было одним из самых непростых вещей, которые я когда-либо делал в своей жизни. 8000 фотографий пропали.",0,0,0,0,1,0,0
"Я свяжусь с PAWS на Филиппинах, чтобы найти нового владельца. Мне так грустно. Я очень люблю свою собаку.",0,0,0,0,1,0,0
"Я не хочу, чтобы все закончилось, потому что я не хочу, чтобы всё закончилось.",0,0,0,0,1,0,0
"Фуадж, магазин фильмов закрыт.",0,0,0,0,1,0,0
"АЛО так грустно, тихо и пусто сегодня вечером.",0,0,0,0,1,0,0
"@Mona26, куда вы направляетесь?",0,0,0,0,1,0,0
"Печально, что Кристиану Лакруа пришлось заявить о банкротстве",0,0,0,0,1,0,0
Мне совсем нехорошо.,0,0,0,0,1,0,0
Завтра надо идти в страшный DMV.,0,0,0,0,1,0,0
Тэйлор Свифт и Джо Джонас очень хорошо выглядели вместе.,0,0,0,0,1,0,0
"Боже, я просто хочу спать.",0,0,0,0,1,0,0
"Нашел мою книгу, открыл настоящий дневник с бумажными дневниками сегодня, раздражающий прыжок над моей губой, делает меня похожим на герпеса",0,0,0,0,1,0,0
"@Real BlackWidow, но я хочу",0,0,0,0,1,0,0
"@imullalayone чертова девчонка, я так слаба, но ты должна мне сказать, чтобы я могла собрать свой набор и я получила листовку в следующие выходные?",0,0,0,0,1,0,0
"@JustinOdom dbl boooooo за то, что я болен, фулиппин дышит! .. бахаха и ну, у меня здесь тоже нет много друзей. Я чувствую себя такой отстойной хаха.",0,0,0,0,1,0,0
"Меня тошнит от желудка и идк, почему?",0,0,0,0,1,0,0
"@justinteviya - чувак, я только что видел твои фотки на SF. Похоже, твоя мини-путешествие была довольно шикарной задницей!",0,0,0,0,0,1,0
"@hello_jodie эм, меня вчера выбросили из фургона @JareWolf и пришлось отвезти в скорую.",0,0,0,0,1,0,0
@judyrey Связь не работает,0,0,0,0,1,0,0
@heavenjones ur должны быть в BK Tho,0,0,0,0,0,1,0
Спокойной ночи.,0,0,0,0,0,1,0
Мой дурацкий зуб болит.,0,0,0,0,1,0,0
"@turnitgrey мои компьютеры сломаны, и я сломал свой ноутбук, так что мне пришлось использовать телефон, а он все еще на нём, потому что они испортили мой заказ.",0,0,0,0,1,0,0
"Жаль, что я не сплю, потому что, когда я сплю, всё весело!",0,0,0,0,1,0,0
@Pengin_Jeehee. Я люблю тебя! Я устала.,0,0,0,0,1,0,0
"Доброе утро, все извиняются за то, что пришли вчера рано, были плохие новости, чувствовали себя полным дерьмом сегодня - это новый день.",0,0,0,0,1,0,0
"Я хочу, чтобы мои родители поместили меня в китайскую школу, когда я был моложе, и тогда мне будет намного легче найти работу...",0,0,0,0,1,0,0
"@joiskol находится в твоей комнате, и мне грустно.",0,0,0,0,1,0,0
"@CocktilChic о, чёрт, я совсем забыл про Thirsty четверг!",0,0,0,0,1,0,0
"Если один человек сделал что-то не так, мир винит всех людей там, это великий мир, в котором мы живем!",0,0,0,0,1,0,0
"@MandyAlwaysKnws nope. Они все спят, потому что живут на восточном побережье.",0,0,0,0,0,1,0
@meljachin: евв. неприязнь,0,0,0,0,1,0,0
"@SuzyDunkley извините за кошку,",0,0,0,0,1,0,0
Пропущенный железный шеф-повар,0,0,0,0,1,0,0
@thevowel версия DS отстой,0,0,0,0,1,0,0
Какой плохой день!,0,0,0,0,1,0,0
Я сегодня столько твитнула... *садость*,0,0,0,0,0,1,0
@CrazyBallerina Не очень сонный ...погибло правильное слово... снова не очень много работы,0,0,0,0,0,1,0
"зашел в магазин, чтобы найти компьютер.",0,0,0,0,1,0,0
Я скучаю по маме. &lt; &lt; Пусть ангелы введут тебя &gt; &gt;,0,0,0,0,1,0,0
@chocolovere Я чувствую то же самое каждый день,0,0,0,0,1,0,0
"Не спится, отстой, в один прекрасный день мне придется спать, и мне нужно встать и пойти за покупками с мамой.",0,0,0,0,1,0,0
"Слаппи-время, скучаю по моему крестному отцу, люблю тебя, Уэйн.",0,0,0,0,1,0,0
"Так что сейчас голова болит, и это отстой.",0,0,0,0,1,0,0
"@jwray12 Lakers, детка Лейкерс! Я буду скучать по игре Tmwr.",0,0,0,0,1,0,0
"Удобная еда дня: сковородка, но она не вкусила ничего хорошего...",0,0,0,0,1,0,0
Скучает по моему ребенку.,0,0,0,0,1,0,0
Я плохо сплю.,0,0,0,0,1,0,0
"У меня есть работа, Том.",0,0,0,0,1,0,0
"Сегодня мы попрощаемся со вторым хорошим другом за неделю до ДМ, но по крайней мере солнце сияет, и я определенно не работаю в этот вечер.",0,0,0,0,1,0,0
"Блядь, транстелеком.",1,0,0,0,0,0,0
@ModelTeany Tee we beefin... что ты должен был сделать до отъезда?????,0,0,0,0,0,1,0
"Иногда то, что ты говоришь, причиняет боль тем, кого любишь по неосторожности, и ты никогда не сможешь забрать и исправить это.",0,0,0,0,1,0,0
@nickk_ Это отстой!,0,0,0,0,1,0,0
Жар не хочет работать.,0,0,0,0,1,0,0
Пропущенный @MeLDIBIASE..6 дней не может пройти достаточно быстро,0,0,0,0,1,0,0
"Работая сегодня из дома, моя спина убивает меня, Доктор, а потом физиотерапия после сегодняшнего дня.",0,0,0,0,1,0,0
Скучаю по вам всем.,0,0,0,0,1,0,0
"@Ravels нюхай нюхай, будь осторожен, надеюсь, скоро мы снова поболтаем, в это время я буду скучать по тебе.",0,0,0,0,1,0,0
"Я не хочу, чтобы она уезжала...",0,0,0,0,1,0,0
"Работаю, но это Фридаайи.",1,0,0,0,0,0,0
"@KaliyaPjones Imao... это грустно, вроде как мешает мне 4rom goin, если это дерьмо дерьмо",0,0,0,0,1,0,0
"Пришел домой с работы @ 9:45 и только закончил уборку, теперь мне нужно поужинать и не знать, чего я хочу!",0,0,0,0,0,1,0
@Willy Northpole Я хотел бы быть там,0,0,0,0,1,0,0
"Я скучаю по своей маленькой Бэтти, ей было всего 3 месяца, когда она заболела, она всегда была такой веселой и полной жизни &lt;3 даже в самом конце...",0,0,0,0,1,0,0
"Я ненавижу утро, это так оскорбительно!",0,0,0,0,1,0,0
"Я думала о тебе на днях и отправила одну, но так и не услышала.",0,0,0,0,1,0,0
"@brianshead waah, мы больше не твои подглядывающие.",0,0,0,0,1,0,0
"@angelica_yo LOLwow dowg звучит не так, как будто ты играешь!",0,0,0,0,1,0,0
Глубина,0,0,0,0,0,1,0
@MariusLT Я сожалею о вашем плохом опыте вождения.,0,0,0,0,1,0,0
Уже скучает по @CMontechillo,0,0,0,0,1,0,0
"@fiercebanana, если вы не закончите распродажу, то это отстой!",0,0,0,0,0,1,0
"Похоже, ванная еще не свободна, рано утром не будет работы, и мне нужен туалет!",0,0,0,0,1,0,0
"@astynes Me. Интересно, покажет ли Mnet...",0,0,0,0,0,1,0
Спасибо @ddlovato (не могу дождаться!!!!!,0,0,0,0,1,0,0
"Сначала мой рабочий компьютер, теперь мой домашний ноутбук в жопе.",0,0,0,0,1,0,0
"@Joek949 Это удручает, что я застряла внутри весь день",0,0,0,0,1,0,0
Я ненавижу быть больным. Я скучаю по @cynthiasheree @lucyowns и @larilinc,0,0,0,0,1,0,0
"Проснись, я хочу остаться в своей постели.",0,0,0,0,1,0,0
Растения помидоров с ног на голову погибли!,0,0,0,0,1,0,0
@ddlovato Kaan'd Iht не будет раньше? ICant подождите так долго. Ahar.,0,0,0,0,1,0,0
Я не могу сегодня пользоваться своей чёрной ягодицой.,0,0,0,0,0,1,0
"@prncztalia, почему ты меня ненавидишь!",0,0,0,0,1,0,0
"http://twitpic.com/663vr - Хотел посетить животных, но мы опоздали.",0,0,0,0,1,0,0
#Jonaswebcast Я просто пропустил это!!!!!!,0,0,0,0,1,0,0
Мне не нравятся эти ночи.,0,0,0,0,1,0,0
"Завтра я пропущу всю игру в комете! Я должен позаботиться о своих двоюродных сестрах, и у них нет доступа к межсетевому каналу.",0,0,0,0,1,0,0
"Лол, я не могу пить!",0,0,0,0,0,1,0
"Если у Билла Комптона есть wii, почему он не может сделать твиттер?",0,0,0,0,0,1,0
@NothinbutSin жаль это слышать.,0,0,0,0,1,0,0
"Только что узнал, что я не могу пить в этом баре!",0,0,0,0,1,0,0
"Собираю вещи, которые мне не нравятся...",1,0,0,0,0,0,0
закончила целую коробку мороженого.,0,0,0,0,1,0,0
@chrisontv88 btw Я не слабак,0,0,0,0,1,0,0
@queenbmakeup Я не могу добавить тебя на моей космической девушке она просит фамилию и email,0,0,0,0,1,0,0
Я не хочу возвращаться на работу в сонное время.,0,0,0,0,1,0,0
Он ездит в Орландо! Я собираюсь покричать!!!!!!!!!!!!!!!!!!!!!!!!,0,0,0,0,1,0,0
@MykeesRock AAAAAHHHHHHH!!!!!!!!!!!,0,0,0,0,0,1,0
"Только что видел лису, когда я ехал по автостраде... я надеюсь, она пойдёт домой.",0,0,0,0,0,1,0
"Британ кажется более талантливым, чем Америка.",0,0,0,0,0,1,0
"@Johnpopham Morning John, да, но у меня есть дневник, и, к сожалению, я не могу присутствовать!",0,0,0,0,1,0,0
Я скучаю по другу.,0,0,0,0,1,0,0
"Да, я только что видела эту грустную рекламу.",0,0,0,0,1,0,0
Использование крошечного Твиттера на маленьком нетронутом экране не очень-то весело.,0,0,0,0,1,0,0
Ненавижу спать в одиночестве.,0,0,0,0,1,0,0
"Я люблю Джонни Кэрона теперь я буду ненавидеть видеть, как Джей Лено уезжает",0,0,0,0,1,0,0
"Несмотря на то, что все хотели спеть новую песню, и наша учительница согласилась :",0,0,0,0,1,0,0
"@razitul you. Я вчера весь день страдала, познакомилась с дантистом и почувствовала себя немного лучше.",0,0,0,0,1,0,0
"В конце концов... интернет поднялся, сервер в Фениксе, и он был облажался.",0,0,0,0,0,1,0
"Я не получил звонка для спектакля, который я плакал... ну, думаю, это снова начало быть техи..",0,0,0,0,1,0,0
@lunafact Я бы хотел пойти с вами сейчас.. я не могу заснуть,0,0,0,0,1,0,0
@Dakshinamurti Еще нет... извините.,0,0,0,0,1,0,0
"Снова переспи со мной, но я знаю, каково это сейчас, тащи меня в ад сегодня вечером!",0,0,0,0,1,0,0
"Я не думаю, что в моём смс-ке есть &quot; предметная линия &quot; .",0,0,0,0,1,0,0
У меня болит живот.,0,0,0,0,1,0,0
Математические викторины: если Мяу = но аллергия = тогда Мяу + Аллергия = ?,0,0,0,0,0,1,0
"@askegg Прости, Эндрю.",0,0,0,0,1,0,0
Как будто я работаю в одиннадцать.,0,0,0,0,1,0,0
"@AmandaMallard, я не в ""Охотнике"", пожалуйста, не умирай, мое сердце будет очень грустно.",0,0,0,0,1,0,0
"@pastorpeterko Hey Peter, спасибо за продолжение. Так много пасторов Сиднея твитят!!! Жаль, что в Twitter нет пасторов Бриса; мы отстаем.",0,0,0,0,0,1,0
"Аку кбангун гара2 mimpi @maniolitha, очень плохой сон",0,0,0,0,0,1,0
"Я не могу уснуть, это так чертовски разочаровывает.",0,0,0,0,1,0,0
"@brounthyamorette в один из тех дней, когда одиночество поднимается на тебя, ударяет тебя по лицу.",0,0,0,0,1,0,0
RIP Kelly fucccck,0,0,0,0,1,0,0
Нехорошо себя чувствую.,0,0,0,0,1,0,0
"Ладно, завтра будет долгий день, попрощаться с моей машиной навсегда.",0,0,0,0,1,0,0
"Я скучаю по Оклахомааааа, слушая, как граждане справляются, пока я не отключаюсь.",0,0,0,0,1,0,0
Это забавно. Мне немного грустно в мой последний день.,0,0,0,0,1,0,0
Дженни уснула и не пришла.,0,0,0,0,1,0,0
"Жаль, что ты не дразнила меня вечериком кино.",0,0,0,0,1,0,0
@johneast я пропустил один из них в этом году.,0,0,0,0,1,0,0
"@IvanaE Я люблю это но я знаю, что там гая вырезает вещи по ТВ",0,0,0,0,1,0,0
"@Jonanna Angel Я делаю, но я на строгой диете . . . . . . . . . . . . я чувствую, что когда-нибудь я буду жульничать, я вырву все.",0,0,0,0,1,0,0
"Итак, Кэл Дачшунд Спасатель нашел дом для моего приемного щенка Макса.",0,0,0,0,1,0,0
"Вау, я чувствую себя как Айш, и мне очень жаль, потому что эти проигнорированные дыры перевернут реквизит 8",0,0,0,0,1,0,0
"Отправляйтесь на работу, закончите около 9 вечера.",0,0,0,0,1,0,0
"Жаль, что ты не дразнил меня вечериком кино.",0,0,0,0,1,0,0
"Может, мне стоит снова выпить, почувствовать, что у меня похмелье-массивное, но не сегодня?",0,0,0,0,1,0,0
Я потерял голос пару дней назад.,0,0,0,0,1,0,0
"Я был слишком сонный, и я не видел Мэтта.",0,0,0,0,1,0,0
"Я только что поняла, что неправильно написала слово &quot; управляемый &quot; , когда я написала @mindykaling, что она должна ненавидеть меня сейчас.",0,0,0,0,1,0,0
У меня всегда такой бледный цвет лица.,0,0,0,0,1,0,0
"Есть другие потрясающие группы, которые проводят фестивали, но не хватает DL.",0,0,0,0,1,0,0
"Хотел бы я, чтобы игра Карлтона была на прямом дурацком канале 7.",0,0,0,0,0,1,0
"О, нет, мой твитдек не работает : O il имеет сеть будет исправлять его",0,0,0,0,1,0,0
"@ElectraX... я сожалею о том, что вы все еще больны. Вы знаете большинство из них, и я знаю, что вы угадаете &quot; pelzer present& &quot; ;-)",0,0,0,0,1,0,0
"@maliciousmandy1 Адам Самберг + новый лунный траектор = добрый вечер. Жаль, что мой кабель выключен в пятницу.",0,0,0,0,1,0,0
"Мне только что надрали задницу в Триполи Лол, у меня такие плохие карты...",0,0,0,0,1,0,0
Энннннд укусил еще одну пыль.,0,0,0,0,1,0,0
"На моем 42-м письменном трахее я каждый день получаю меньше идей, и каждый день",0,0,0,0,1,0,0
@hammett Я бы хотел иметь время на мой проект Xbox все связаны,0,0,0,0,1,0,0
"Вау, это больно гораздо хуже, чем я думала.",0,0,0,0,0,1,0
"Похоже, завтра вечером получишь мусор.",0,0,0,0,1,0,0
"Чувствую себя дерьмом всякий раз, когда она лежит. @(1+-'$# Я ненавижу сердечные изжоги и боли в спине!",0,0,0,0,1,0,0
@Katiefreez Я скучаю по тебе!!!! Это одиноко и пусто без тебя! http://yfrog.com/3o3zxoj,0,0,0,0,1,0,0
"@lozzyx NOICE. Я поняла, что после экзаменов у меня еще две недели забыла о целых двух неделях в 4-м блоке во 2-м семестре :/",0,0,0,0,1,0,0
Пропавшие все,0,0,0,0,1,0,0
"Завтра моя сестра переезжает, и мне грустно, вообще-то, технически через пару часов, раз уже пятница.",0,0,0,0,1,0,0
Завтра я не попаду в церковь.,0,0,0,0,0,1,0
Полиция закончила вечеринку @ 5!,0,0,0,0,0,1,0
@wired это так грустно,0,0,0,0,1,0,0
"@Jordalynn omg Вы никогда не видели ""Кольцо"" это крутой фильм о заднице",0,0,0,0,0,1,0
Манннн... @Allyy_ получил айфон!!!!,0,0,0,0,0,1,0
все еще вздыхает.,0,0,0,0,1,0,0
Джош только что назвал меня большим ведро уродливого пожелай мне удачи на прослушивание твитов!,0,0,0,0,0,1,0
Я чувствую себя очень странно,0,0,0,0,1,0,0
"@future_perfect Я пытаюсь выучить себя фотошоп, но это не так хорошо!",0,0,0,0,0,1,0
"У меня болит горло, я пойду почитаю и лягу спать. Напиши мне!",0,0,0,0,1,0,0
Финдскаль Им очень расстроен.,0,0,0,0,1,0,0
"Интересно, почему Макдональды так долго доставляют мою еду.",0,0,0,0,1,0,0
"@desdulas Ya, погода здесь была очень странная.",0,0,0,0,0,1,0
"@kenyaimagine... гораздо больше несправедливости, чем мы можем себе представить сейчас.",0,0,0,0,1,0,0
"Су... я немного устала от того, что ребята вытаскивают!!!!!!!!!",0,0,0,0,1,0,0
"@StarOnMaineSt, Idk lol моя голова болит. Rly плохая. И мой желудок... хм... лично, я думаю, что это от всех #s-IU было 2 сделки остроумно",0,0,0,0,1,0,0
"Пустая трата дезодоранта... я еду туда, где нет...",0,0,0,0,0,1,0
"Какой прекрасный день - жаль, что я должен провести его в офисе.",0,0,0,0,1,0,0
"Только что закончил смотреть сериал ""Война Чейзеров за все"" - действительно хреново по сравнению с тем, как это было раньше.",0,0,0,0,1,0,0
"Вау только что поняла, что не проверяла Твиттер с 9 утра, когда я увидела свой список задач. Хорошие новости - много сделано. Плохие новости - не знаю, куда делся день.",0,0,0,0,1,0,0
http://twitpic.com/664b7 - скучает по моей лучшей подруге:'(сейчас она бросила школу),0,0,0,0,1,0,0
Мои наушники просто шокировали меня.,0,0,0,0,0,1,0
Жуть болит.,0,0,0,0,1,0,0
Прощание с сотрудником сегодня вечером...,0,0,0,0,1,0,0
"Доброе утро, отопление закончилось, так что я не могу принять ванну, я правда хочу ванну!",0,0,0,0,1,0,0
@heavenlyriot Girls запутались.,0,0,0,0,1,0,0
@ lyriski_Я зачем ты так со мной поступил?!,0,0,0,0,1,0,0
Затмение в городе никогда не бывает хорошим.,0,0,0,0,1,0,0
"@bluth_a_mind Крис и я остаемся в Глазго, потому что в Эдинбурге нет никакого аккомодации из-за марафона.",0,0,0,0,1,0,0
@t_isfortammy грустные твиты,0,0,0,0,1,0,0
"Решил, что больше не выношу спама @GuyKawasaki.",0,0,0,0,1,0,0
Я скучаю по богатым,0,0,0,0,1,0,0
"Голова грядущего века... Я чувствую это, блядь.",0,0,0,0,1,0,0
Я ненавижу быть вторым лучшим.,0,0,0,0,1,0,0
"Домой с мороженого в твиттере (мой первый твит-ап!) Нет фотографий, потому что моя батарея отключилась прошлой ночью, и я забыл зарядить его.",0,0,0,0,1,0,0
"@narain Dun хочет поехать туда на обед, но да, я был там.",0,0,0,0,1,0,0
"@xMyLifesAstoryx грабителю повезло, что он победил меня 209-205",0,0,0,0,1,0,0
"Не думаю, что страничка ФБР @bing дойдет до 7500.",0,0,0,0,0,1,0
Домой из школы сегодня был самый шикарный день.,0,0,0,0,1,0,0
"@hoboexy lol, когда я пошла купить свой новый ноутбук в феврале, я уже знала, lol, но я все равно посмотрела и ушла грустно.",0,0,0,0,1,0,0
Все сели на хорошие места.,0,0,0,0,1,0,0
"@sfanna Ahhhhhh ну, по крайней мере, я готов!",0,0,0,0,1,0,0
@DHughesy ME!,0,0,0,0,1,0,0
"Это было как 77 DF вчера, где я был, здесь 37,4",0,0,0,0,0,1,0
"Простите, это было грубо.",0,0,0,0,1,0,0
"Собачьи глаза кажутся плохими. так что почему бы не скидку на ветераны, чтобы заполучить его?!!!!!!!",0,0,0,0,0,1,0
"@rscheuer, извините, на данный момент только в испанском.",0,0,0,0,1,0,0
"Я прошёл мимо Энди... пошел за покупками и купил свежую курицу для куриного супа... но нет ни капли, ни этого сидения... это грустная панда.",0,0,0,0,1,0,0
Не очень хорошо,0,0,0,0,1,0,0
@Miss_Rain о какой чертовой способ сказать мне.,0,0,0,0,1,0,0
@Blackestsea o чёрт!,0,0,0,0,1,0,0
"@shandiviney, я не получил msg!:' (но я купил принцессу)",0,0,0,0,1,0,0
